MedicationID,MedicationName,Description,UnitCost
MED001,Paracetamol,Ahead town audience know civil by step.,81.56
MED002,Ibuprofen,Daughter indicate model after camera fact either.,58.71
MED003,Amoxicillin,Phone share herself form personal forward rule.,93.1
MED004,Metformin,Movie sign hear weight.,41.02
MED005,Omeprazole,Phone need off full.,64.01
MED006,Atorvastatin,Over read no against.,67.48
MED007,Amlodipine,Usually vote although word hope.,89.24
MED008,Simvastatin,Recognize church product business shake either attention when.,94.33
MED009,Albuterol,Culture smile box suddenly north to.,76.6
MED010,Prednisone,Protect card serious ago in owner alone.,94.1
MED011,Azithromycin,Phone trial kid capital compare blood ago.,33.05
MED012,Ciprofloxacin,Meeting drop despite two.,8.88
MED013,Hydrochlorothiazide,Take check plant television million.,41.25
MED014,Furosemide,Key consider whatever daughter value behavior result read.,26.96
MED015,Losartan,Remember move different institution Republican.,59.63
MED016,Gabapentin,What respond page never business anyone.,78.99
MED017,Sertraline,Read agent receive picture.,12.49
MED018,Levothyroxine,Certainly let real get.,74.66
MED019,Insulin,For operation him parent.,84.69
MED020,Clindamycin,Left model edge hope television worry push.,71.47
MED021,Montelukast,Positive notice hour parent expert institution likely organization.,13.83
MED022,Warfarin,Dog particularly table foot vote prove.,19.81
MED023,Tramadol,Relationship must interview past deep source environmental thought.,37.89
MED024,Pantoprazole,Radio team southern ever.,83.03
MED025,Doxycycline,Avoid despite force.,92.72
MED026,Carvedilol,Evening very month tell effect meet mission.,63.58
MED027,Allopurinol,Lawyer direction peace professional couple nice charge.,43.7
MED028,Lisinopril,Six consumer take few change.,24.32
MED029,Diazepam,Measure write model heavy.,12.17
MED030,Fluoxetine,Collection change day.,31.3
MED031,Metoprolol,According style message behind.,87.17
MED032,Hydrocortisone,Lawyer challenge change garden idea purpose ball.,77.61
MED033,Ceftriaxone,Organization he decade box owner speak.,27.91
MED034,Amiodarone,Religious former may line under Democrat join political.,79.27
MED035,Lorazepam,Time class series difference.,81.99
MED036,Ranitidine,Standard play direction tend wait trade through.,83.29
MED037,Methotrexate,Piece case ten size.,31.7
MED038,Propranolol,Indicate painting my choose seem defense allow.,56.01
MED039,Enalapril,Create strategy audience fly radio thus.,81.43
MED040,Nitroglycerin,Station small sign daughter cold community piece.,92.24
MED041,Sildenafil,Center be medical real general cultural.,5.83
MED042,Levocetirizine,State rock bit.,65.61
MED043,Clonazepam,Ball piece for himself.,98.61
MED044,Melatonin,Or actually music know politics.,28.74
MED045,Tamsulosin,Hot compare item.,68.22
MED046,Donepezil,Several into national recently.,82.94
MED047,Sumatriptan,Note conference create chair paper.,12.29
MED048,Oxcarbazepine,Government activity single watch management claim director.,32.39
MED049,Valacyclovir,Light exactly up goal plant customer.,47.3
MED050,Dexamethasone,Nature follow sometimes task quite address.,73.85
